Date,Open,High,Low,Close,Adj Close,Volume,Day
2009-07-24,13.85,13.92,13.85,13.92,13.92,0,0
2009-07-27,14.13,14.13,14.02,14.09,14.09,0,1
2009-07-28,13.96,13.96,13.67,13.75,13.75,0,2
2009-07-29,13.64,13.64,13.22,13.34,13.34,0,3
2009-07-30,13.49,13.62,13.44,13.51,13.51,0,4
2009-07-31,13.5,13.99,13.46,13.95,13.95,0,5
2009-08-03,14.43,14.46,14.25,14.25,14.25,0,6
2009-08-04,14.46,14.8,14.4,14.63,14.63,0,7
2009-08-05,14.87,14.87,14.67,14.79,14.79,0,8
2009-08-06,14.98,15.03,14.46,14.6,14.6,0,9
2009-08-07,14.87,14.91,14.6,14.63,14.63,0,10
2009-08-10,14.48,14.53,14.35,14.42,14.42,0,11
2009-08-11,14.32,14.41,14.26,14.36,14.36,0,12
2009-08-12,14.3,14.61,14.3,14.58,14.58,0,13
2009-08-13,14.89,15.06,14.84,15.05,15.05,0,14
2009-08-14,15.04,15.04,14.62,14.73,14.73,0,15
2009-08-17,14.07,14.09,13.85,14.03,14.03,0,16
2009-08-18,13.93,14.03,13.89,13.97,13.97,0,17
2009-08-19,13.62,13.96,13.59,13.82,13.82,0,18
2009-08-20,13.84,13.96,13.84,13.94,13.94,0,19
2009-08-21,14.22,14.27,14.13,14.18,14.18,0,20
2009-08-24,14.43,14.46,14.09,14.16,14.16,0,21
2009-08-25,14.35,14.44,14.24,14.32,14.32,0,22
2009-08-26,14.31,14.33,14.2,14.33,14.33,36900,23
2009-08-27,14.32,14.34,14.09,14.28,14.28,36600,24
2009-08-28,14.76,14.85,14.73,14.74,14.74,120400,25
2009-08-31,14.64,14.94,14.6,14.92,14.92,214900,26
2009-09-01,14.85,15.12,14.75,15.02,15.02,126000,27
2009-09-02,15.04,15.47,14.91,15.47,15.47,181800,28
2009-09-03,15.77,16.27,15.7,16.15,16.15,282500,29
2009-09-04,16.01,16.360001,15.87,16.24,16.24,162600,30
2009-09-08,16.74,16.790001,16.389999,16.459999,16.459999,186200,31
2009-09-09,16.58,16.700001,16.27,16.32,16.32,119900,32
2009-09-10,16.34,16.690001,16.33,16.690001,16.690001,125200,33
2009-09-11,16.93,16.99,16.66,16.809999,16.809999,177200,34
2009-09-14,16.6,16.66,16.52,16.59,16.59,143400,35
2009-09-15,16.59,17.08,16.59,17.059999,17.059999,193200,36
2009-09-16,17.379999,17.51,17.27,17.440001,17.440001,324000,37
2009-09-17,17.43,17.530001,17.209999,17.280001,17.280001,222200,38
2009-09-18,17.27,17.27,17,17.01,17.01,79300,39
2009-09-21,16.76,16.969999,16.65,16.85,16.85,169200,40
2009-09-22,17.26,17.26,17.07,17.17,17.17,170400,41
2009-09-23,16.99,17.09,16.74,16.860001,16.860001,214900,42
2009-09-24,16.870001,16.870001,16.209999,16.26,16.26,250900,43
2009-09-25,16.049999,16.219999,16,16.030001,16.030001,217800,44
2009-09-28,16.059999,16.299999,16.030001,16.190001,16.190001,89800,45
2009-09-29,16.17,16.25,16.09,16.18,16.18,66700,46
2009-09-30,16.440001,16.700001,16.24,16.67,16.67,135400,47
2009-10-01,16.709999,16.74,16.35,16.360001,16.360001,72100,48
2009-10-02,16.120001,16.43,16.09,16.110001,16.110001,275000,49
2009-10-05,16.15,16.639999,16.15,16.639999,16.639999,562900,50
2009-10-06,17.110001,17.4,17.110001,17.360001,17.360001,293900,51
2009-10-07,17.379999,17.57,17.32,17.540001,17.540001,120100,52
2009-10-08,17.620001,17.92,17.51,17.790001,17.790001,195200,53
2009-10-09,17.73,17.82,17.559999,17.73,17.73,163200,54
2009-10-12,17.809999,17.92,17.75,17.780001,17.780001,118700,55
2009-10-13,17.75,17.889999,17.559999,17.780001,17.780001,341700,56
2009-10-14,17.93,17.940001,17.82,17.870001,17.870001,109700,57
2009-10-15,17.549999,17.73,17.309999,17.33,17.33,202400,58
2009-10-16,17.370001,17.57,17.280001,17.459999,17.459999,134900,59
2009-10-19,17.440001,17.73,17.33,17.73,17.73,134400,60
2009-10-20,17.780001,17.780001,17.4,17.49,17.49,201700,61
2009-10-21,17.469999,17.809999,17.469999,17.639999,17.639999,205700,62
2009-10-22,17.469999,17.65,17.379999,17.610001,17.610001,202000,63
2009-10-23,17.92,17.940001,17.48,17.67,17.67,172500,64
2009-10-26,17.68,17.790001,16.99,17.1,17.1,299800,65
2009-10-27,16.950001,16.99,16.5,16.639999,16.639999,194800,66
2009-10-28,16.379999,16.5,16.1,16.139999,16.139999,277600,67
2009-10-29,16.459999,16.690001,16.440001,16.67,16.67,159000,68
2009-10-30,16.52,16.549999,16.15,16.35,16.35,168500,69
2009-11-02,16.469999,16.719999,16.35,16.43,16.43,120700,70
2009-11-03,16.299999,17.32,16.299999,17.26,17.26,183200,71
2009-11-04,17.49,17.620001,17.34,17.440001,17.440001,185800,72
2009-11-05,17.459999,17.5,17.34,17.43,17.43,169400,73
2009-11-06,17.450001,17.629999,17.290001,17.360001,17.360001,98400,74
2009-11-09,17.700001,17.73,17.48,17.59,17.59,111800,75
2009-11-10,17.389999,17.559999,17.16,17.33,17.33,73200,76
2009-11-11,17.719999,17.73,17.42,17.58,17.58,207900,77
2009-11-12,17.440001,17.540001,17.200001,17.209999,17.209999,150200,78
2009-11-13,17.15,17.450001,17.040001,17.440001,17.440001,167900,79
2009-11-16,17.84,18.450001,17.83,18.34,18.34,294500,80
2009-11-17,18.280001,18.440001,18.200001,18.440001,18.440001,148100,81
2009-11-18,18.790001,18.82,18.4,18.559999,18.559999,348900,82
2009-11-19,18.5,18.58,18.18,18.58,18.58,127400,83
2009-11-20,18.25,18.549999,18.23,18.530001,18.530001,186800,84
2009-11-23,18.83,18.93,18.549999,18.59,18.59,196200,85
2009-11-24,18.610001,18.620001,18.33,18.549999,18.549999,183400,86
2009-11-25,18.65,18.85,18.59,18.84,18.84,183300,87
2009-11-27,17.940001,18.459999,17.9,18.299999,18.299999,167000,88
2009-11-30,18.15,18.5,18.110001,18.469999,18.469999,191000,89
2009-12-01,18.82,19.25,18.75,19.110001,19.110001,257700,90
2009-12-02,19.309999,19.43,19.129999,19.219999,19.219999,277000,91
2009-12-03,18.98,19.120001,18.809999,18.959999,18.959999,310900,92
2009-12-04,18.799999,18.799999,18.280001,18.5,18.5,317000,93
2009-12-07,17.969999,18.309999,17.870001,18.139999,18.139999,223500,94
2009-12-08,17.959999,18.02,17.530001,17.6,17.6,207300,95
2009-12-09,17.68,17.860001,17.1,17.43,17.43,359200,96
2009-12-10,17.360001,17.440001,17.129999,17.389999,17.389999,204900,97
2009-12-11,17.299999,17.32,16.879999,17.16,17.16,211600,98
2009-12-14,17.24,17.389999,17.17,17.379999,17.379999,159300,99
2009-12-15,17.299999,17.48,17.25,17.41,17.41,111500,100
2009-12-16,17.49,17.76,17.469999,17.700001,17.700001,102300,101
2009-12-17,17.450001,17.5,17.07,17.09,17.09,143900,102
2009-12-18,17.23,17.34,17.09,17.27,17.27,84800,103
2009-12-21,17.32,17.360001,16.969999,16.98,16.98,121200,104
2009-12-22,16.959999,17.129999,16.75,16.959999,16.959999,53800,105
2009-12-23,17.1,17.209999,17.07,17.120001,17.120001,93000,106
2009-12-24,17.32,17.49,17.309999,17.49,17.49,49700,107
2009-12-28,17.59,17.620001,17.440001,17.540001,17.540001,107600,108
2009-12-29,17.43,17.43,17.07,17.110001,17.110001,105400,109
2009-12-30,16.860001,16.9,16.73,16.83,16.83,120000,110
2009-12-31,16.98,16.99,16.809999,16.870001,16.870001,170500,111
2010-01-04,17.389999,17.559999,17.34,17.540001,17.540001,120800,112
2010-01-05,17.549999,17.860001,17.5,17.799999,17.799999,169400,113
2010-01-06,17.959999,18.219999,17.959999,18.200001,18.200001,204900,114
2010-01-07,18.18,18.34,18.120001,18.219999,18.219999,89500,115
2010-01-08,18.440001,18.49,18.27,18.48,18.48,236000,116
2010-01-11,18.77,18.780001,18.540001,18.559999,18.559999,153900,117
2010-01-12,18.5,18.59,18.15,18.200001,18.200001,161700,118
